product_id,description,specification
1,"Low latency connection, Water-resistant IPX4 design, Custom-tuned 13mm drivers","{""HEADPHONE FREQUENCY RESPONSE"": ""20 Hz - 20 KHz"", ""HEADPHONE IMPEDANCE"": ""32 Ohm (1 kHz)"", ""HEADPHONE SENSITIVITY"": ""91 &#177; 3 dB (1 kHz)"", ""HEADPHONE INPUT POWER"": ""8 mW"", ""HEADPHONE DRIVERS"": ""13 mm"", ""HEADPHONE CONNECTOR"": ""Bluetooth"", ""CABLE LENGTH"": ""None"", ""WEIGHT"": ""45 g"", ""MICROPHONE PICK UP PATTERN"": ""Omnidirectional"", ""MICROPHONE SIGNAL-TO-NOISE RATIO"": ""55 dB"", ""MICROPHONE SENSITIVITY (@1KHZ)"": ""42 &#177; 3 dB (1 kHz)"", ""COMPATIBILITY"": ""Devices with Bluetooth connections, Smartphone app available for Android 8.0 Oreo and iOS 11 (or higher)""}"
2,"Kitty Ears and Earcups Powered by Razer Chroma , Stream Reactive Lighting ,Cosplay Mode","{""FREQUENCY RESPONSE"": ""20 Hz - 20 kHz"", ""IMPEDANCE"": ""32 Ohm (1 kHz)"", ""SENSITIVITY"": ""109 dB (1 kHz)"", ""DRIVER SIZE - DIAMETERS (MM)"": ""50 mm"", ""DRIVER TYPE"": ""Custom Tuned"", ""EARCUPS"": ""Cooling Gel-Infused Cushions"", ""INNER EARCUP DIAMETER"": ""Major Diameter 65 mm, Minor Diameter 44 mm"", ""EARPADS MATERIAL"": ""Heat-Transfer Fabric / Leatherette / Memory Foam"", ""NOISE CANCELLING"": ""Active noise-canceling Microphone"", ""CONNECTION TYPE"": ""USB Digital"", ""CABLE LENGTH"": ""4.27 ft. / 1.3 m"", ""WEIGHT"": ""0.90 lbs / 408 g"", ""MICROPHONE STYLE"": ""Retractable Unidirectional Microphone"", ""PICK-UP PATTERN"": ""Unidirectional ECM boom"", ""MICROPHONE FREQUENCY RESPONSE"": ""100 Hz - 10 kHz"", ""MICROPHONE SENSITIVITY (@1KHZ)"": ""-45 &#177; 3 dB"", ""VIRTUAL SURROUND ENCODING"": ""THX Spatial"", ""VOLUME CONTROL"": ""Yes (VOL + and VOL  buttons)"", ""OTHER CONTROLS"": ""On Microphone Mute Function: Click-to-mute"", ""On-earcup: THX Spatial on/off toggle"": ""BATTERY LIFE"", ""None"": ""LIGHTING"", ""Stream reactive kitty ears"": ""Underglow earcups"", ""COMPATIBILITY"": ""Devices with USB Connector""}"
3,"Dual Driver Technology, Three Silicone Tip Sizes, Aluminum Frame & Braided Cables","{""HEADPHONE FREQUENCY RESPONSE"": ""20 Hz-20 KHz"", ""HEADPHONE IMPEDANCE"": ""32 Ohm &#177; 15%"", ""HEADPHONE SENSITIVITY"": ""112 &#177; 3 dB (Max SPL)"", ""HEADPHONE INPUT POWER"": ""10 mW/20 mW"", ""HEADPHONE DRIVERS"": ""Dynamic + Balanced Armature"", ""HEADPHONE CONNECTOR"": ""3.5 mm angled jack"", ""CABLE LENGTH"": ""1.2 m"", ""WEIGHT"": ""17 g"", ""MICROPHONE FREQUENCY RESPONSE"": ""100 Hz -10 kHz"", ""MICROPHONE PICK UP PATTERN"": ""Omni-directional"", ""MICROPHONE SIGNAL-TO-NOISE RATIO"": "" 58 dB"", ""MICROPHONE SENSITIVITY (@1KHZ)"": ""-40 &#177; 3 dB"", ""COMPATIBILITY"": ""Devices with 3.5 mm audio jack, Devices with 3.5 mm audio + microphone combined jack""}"
4,"Razer TriForce Titanium 50mm Drivers, Raze HyperClear Supercardioid Mic, Dedicated mobile mic","{""FREQUENCY RESPONSE"": ""20 Hz - 20 kHz"", ""IMPEDANCE"": ""32 at 1 kHz"", ""SENSITIVITY"": ""108 dB"", ""DRIVER SIZE - DIAMETERS (MM)"": ""50 mm"", ""DRIVER TYPE"": ""Razer TriForce Titanium"", ""EARCUPS"": ""Oval ear cushions"", ""INNER EARCUP DIAMETER"": ""2.2 x 2.64, 56 mm x 67 mm"", ""EARPADS MATERIAL"": ""FlowKnit memory foam ear cushions"", ""NOISE CANCELLING"": ""None"", ""CONNECTION TYPE"": ""Direct to Xbox / via Xbox Wireless Adapter for Windows 10, Wireless range: 10 m / 30 ft, Wireless frequency: 2.4 GHz / 5 GHz"", ""CABLE LENGTH"": ""None"", ""WEIGHT"": ""0.80 lbs / 365 g"", ""MICROPHONE STYLE"": ""None"", ""PICK-UP PATTERN"": ""Unidirectional"", ""VIRTUAL SURROUND ENCODING"": ""None"", ""MICROPHONE FREQUENCY RESPONSE"": ""100 Hz - 10 kHz"", ""VOLUME CONTROL"": ""Yes (VOL + and VOL Wheel)"", ""OTHER CONTROLS"": ""On Earcup"", ""BATTERY LIFE"": ""Up to 15 hours (with Chroma Lighting), 20 hours (without Chroma Lighting)"", ""LIGHTING"": ""Razer Chroma RGB underglow lighting"", ""COMPATIBILITY"": ""Xbox One / Xbox One S / Xbox One X/ Xbox Series X|S, PC (Windows 10 or higher) **May require Xbox Wireless Adapter for Windows 10 (not included/ Sold Separately)"", ""MICROPHONE SENSITIVITY (@1KHZ)"": ""54 &#177; 3 dB""}"
5,"In your ears or around your neck, Beats Flex are as versatile as the life you lead. Whether you\'re listening to music, taking calls, or scrolling your social feed, you\'ll always be ready for what\'s next. Magnetic earbuds make listening that much easier by automatically playing music when they\'re in your ears and pausing when they\'re attached around your neck. The Flex-Form cable provides all-day comfort with durable Nitinol construction while four eartip options offer a personalized fit. And when you\'re not wearing them, the magnetic earbuds keep Beats Flex tangle-free as they easily coil up into your pocket or purse.","{""Other Features"": ""Bluetooth, With Mic, Inline Volume Control, Wireless"", ""Form Factor"": ""In Ear"", ""Connections"": ""Bluetooth, Wireless"", ""Power Source"": ""Battery"", ""Batteries"": ""Rechargeable lithium-ion"", ""Height"": ""0.6 in / 1.6 cm"", ""Length"": ""34 in / 86.4 cm"", ""Width"": ""4.2 in / 10.6 cm"", ""Weight"": ""18.6 g / 0.66 oz""}"
6,"Powerbeats Pro, powered by the Apple H1 headphone chip, will revolutionise the way you work out. Built for elite athletes, these totally wireless earphones have no wires to hold you back. The adjustable, secure-fit earhooks are customisable with multiple ear-tip options for extended comfort and are made to stay in place, no matter how hard you go. This lightweight earphone is built for performance with a reinforced design for IPX4-rated sweat and water resistance, so you can take your workouts to the next level. With up to 9 hours of listening time in each earbud and powerful, balanced sound, you\'ll always have your music to motivate you.","{""Other Features"": ""Bluetooth, Wireless"", ""Form Factor"": ""Ear hook, In Ear"", ""Connections"": ""Bluetooth, Wireless"", ""Batteries"": ""Rechargeable lithium-ion"", ""Height"": ""2.3 cm / 0.9 in. (bud), 4.3 cm / 1.7 in. (case)"", ""Length"": ""5.9 cm / 2.3 in. (bud), 7.7 cm / 3 in. (case)"", ""Width"": ""3.8 cm / 1.5 in. (bud), 7.7 cm / 3 in. (case)"", ""Weight"": ""11g (bud), 80g (case)""}"
7,"Get inspired with Solo Pro wireless headphones. To deliver sound how you want it, Solo Pro features two listening modes: Active Noise Cancelling (ANC) and Transparency mode. Beats Pure ANC gives you the space to create with fully immersive sound, while Transparency mode helps you stay aware of your surroundings. Every detail of Solo Pro has been carefully considered, right down to the intuitive way the headphones turn on and off via folding. The ergonomic design delivers exceptional comfort for extended wear and sleek style. And with up to 22 hours of battery life, you can keep the music going no matter where your day takes you.","{""Form Factor"": ""On Ear"", ""Connections"": ""Bluetooth, Wireless"", ""Power Source"": ""Battery"", ""Batteries"": ""Rechargeable lithium-ion"", ""Height"": ""17.9 cm/7.05 in."", ""Weight"": ""267 g/9.42 oz.""}"
8,"Beats EP On-Ear Headphones deliver masterfully tuned sound. The battery-free design offers unlimited playback and their sleek, durable frame is reinforced with lightweight stainless steel. Beats EP is an ideal introduction to Beats for any music lover seeking a dynamic listening experience.","{""Form Factor"": ""On Ear"", ""Cable length"": ""133.9 cm / 52.7 in."", ""Height"": ""6.6 cm / 2.6 in."", ""Length"": ""17.8 cm / 7 in."", ""Width"": ""15.4 cm / 6 in."", ""Weight"": ""200g""}"
9,"Powered by the Apple H1 headphone chip, high-performance wireless Powerbeats earphones are built to keep you moving. The adjustable, secure-fit earhooks maximise comfort and stability, while a reinforced design for IPX4-rated sweat and water resistance5 lets you take it to the next level. And with up to 15 hours of listening time,1 you can stay charged through multiple workouts and fuel your training with powerful, balanced sound.","{""Other Features"": ""Bluetooth, Wireless, Noise Isolation"", ""Form Factor"": ""Ear hook, In Ear"", ""Connection"": ""Bluetooth, Wireless"", ""Power Source"": ""Battery"", ""Batteries"": ""Rechargeable lithium-ion"", ""Height"": ""2.4 cm / 0.9 in."", ""Length"": ""5.9 cm / 2.3 in."", ""Width"": ""3.8 cm / 1.5 in."", ""Weight"": ""27g""}"
10,"An exceptional listening experience that/\'s tailored just for you. The WF-1000XM4 truly wireless headphones take industry-leading noise cancelling1 and audio quality to the next level. Made to fit every ear, they offer a personalised experience that adjusts to every situation.","{""WEIGHT"": ""Approx. 41 g"", ""HEADPHONE TYPE"": ""Truly Wireless"", ""DRIVER UNIT"": ""6 mm"", ""MAGNET"": ""High power neodymium magnets"", ""FREQUENCY RESPONSE(BLUETOOTH COMMUNICATION)"": ""20Hz - 20,000Hz(44.1kHz sampling) / 20Hz - 40,000Hz(LDAC 96kHz sampling, 990kbps)"", ""WATERPROOF"": ""Yes(IPX4)"", ""DSEE EXTREME"": ""Yes"", ""BATTERY CHARGE TIME"": ""Approx. 1.5 hrs"", ""BATTERY LIFE(CONTINUOUS MUSIC PLAYBACK TIME)"": ""Max. 8 hrs(NC On) / Max. 12 hrs(NC Off)"", ""BATTERY LIFE(CONTINUOUS COMMUNICATION TIME)"": ""Max. 5.5 hrs(NC On) / Max. 6.0 hrs(NC Off)"", ""BLUETOOTH VERSION"": ""BLUETOOTH Specification Version5.2"", ""PROFILE"": ""A2DP, AVRCP, HFP, HSP"", ""SUPPORTED AUDIO FORMAT(S)"": ""SBC, AAC, LDAC"", ""SUPPORTED CONTENT PROTECTION"": ""SCMS-T"", ""AMBIENT SOUND MODE"": ""Yes"", ""QUICK ATTENTION"": ""Yes""}"
